symbol,name,exchange,sector,list_date,mktcap
000001.SZ,平安银行,SZSE,银行,19910403,
000002.SZ,万科Ａ,SZSE,全国地产,19910129,
000006.SZ,深振业Ａ,SZSE,区域地产,19920427,
000007.SZ,全新好,SZSE,其他商业,19920413,
000008.SZ,神州高铁,SZSE,运输设备,19920507,
000009.SZ,中国宝安,SZSE,电气设备,19910625,
000010.SZ,美丽生态,SZSE,建筑工程,19951027,
000011.SZ,深物业A,SZSE,房产服务,19920330,
000012.SZ,南玻Ａ,SZSE,玻璃,19920228,
000014.SZ,沙河股份,SZSE,全国地产,19920602,
000016.SZ,深康佳Ａ,SZSE,家用电器,19920327,
000017.SZ,深中华A,SZSE,服饰,19920331,
000019.SZ,深粮控股,SZSE,农业综合,19921012,
000020.SZ,深华发Ａ,SZSE,元器件,19920428,
000021.SZ,深科技,SZSE,元器件,19940202,
000025.SZ,特力Ａ,SZSE,综合类,19930621,
000026.SZ,飞亚达,SZSE,服饰,19930603,
000027.SZ,深圳能源,SZSE,火力发电,19930903,
000028.SZ,国药一致,SZSE,医药商业,19930809,
000029.SZ,深深房Ａ,SZSE,区域地产,19930915,
000030.SZ,富奥股份,SZSE,汽车配件,19930929,
000031.SZ,大悦城,SZSE,全国地产,19931008,
000032.SZ,深桑达Ａ,SZSE,建筑工程,19931028,
000034.SZ,神州数码,SZSE,软件服务,19940509,
000035.SZ,中国天楹,SZSE,环境保护,19940408,
000036.SZ,华联控股,SZSE,全国地产,19940617,
000037.SZ,深南电A,SZSE,火力发电,19940701,
000039.SZ,中集集团,SZSE,运输设备,19940408,
000042.SZ,中洲控股,SZSE,全国地产,19940921,
000045.SZ,深纺织Ａ,SZSE,元器件,19940815,
000048.SZ,京基智农,SZSE,农业综合,19941101,
000049.SZ,德赛电池,SZSE,电气设备,19950320,
000050.SZ,深天马Ａ,SZSE,元器件,19950315,
000055.SZ,方大集团,SZSE,其他建材,19960415,
000056.SZ,皇庭国际,SZSE,其他商业,19960708,
